vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount,puYear,puMonth
VTS,2012-03-15T21:40:00.000+0000,2012-03-15T21:46:00.000+0000,6,1.3,null,null,-73.989565,40.736047,-74.000342,40.72119,1,null,CSH,5.3,0.5,0.5,null,0,0,6.3,2012,3
VTS,2012-03-15T19:30:00.000+0000,2012-03-15T19:40:00.000+0000,1,1.9,null,null,-73.984605,40.74818,-74.002787,40.733677,1,null,CSH,7.7,1,0.5,null,0,0,9.2,2012,3
VTS,2012-03-23T09:38:00.000+0000,2012-03-23T09:47:00.000+0000,1,2.63,null,null,-73.98781,40.723967,-73.964953,40.755565,1,null,CRD,8.1,0,0.5,null,2,0,10.6,2012,3
CMT,2012-03-01T21:48:39.000+0000,2012-03-01T22:02:47.000+0000,1,3.6,null,null,-73.978055,40.753428,-73.96256,40.794933,1,N,CSH,11.3,0.5,0.5,null,0,0,12.3,2012,3
VTS,2012-03-22T20:25:00.000+0000,2012-03-22T20:31:00.000+0000,5,1.42,null,null,-73.992902,40.742412,-73.982908,40.756972,1,null,CRD,5.7,0.5,0.5,null,1.24,0,7.94,2012,3
VTS,2012-03-08T23:54:00.000+0000,2012-03-09T00:19:00.000+0000,1,17.95,null,null,-73.782112,40.644757,-73.989095,40.739637,2,null,CRD,45,0,0.5,null,6,4.8,56.3,2012,3
VTS,2012-03-15T15:09:00.000+0000,2012-03-15T15:23:00.000+0000,1,2,null,null,-73.962255,40.779187,-73.969892,40.757442,1,null,CSH,9.3,0,0.5,null,0,0,9.8,2012,3
VTS,2012-03-14T12:30:00.000+0000,2012-03-14T12:37:00.000+0000,1,0.89,null,null,-73.984685,40.728388,-73.988572,40.73711,1,null,CRD,5.3,0,0.5,null,1.06,0,6.86,2012,3
VTS,2012-03-24T08:20:00.000+0000,2012-03-24T08:24:00.000+0000,1,0.63,null,null,-73.991715,40.759642,-73.998547,40.760627,1,null,CRD,4.1,0,0.5,null,1.23,0,5.83,2012,3
VTS,2012-03-10T19:46:00.000+0000,2012-03-10T19:51:00.000+0000,1,0.78,null,null,-73.96061,40.769572,-73.959655,40.776492,1,null,CRD,4.9,0,0.5,null,4.6,0,10,2012,3
VTS,2012-03-25T13:00:00.000+0000,2012-03-25T13:05:00.000+0000,1,1.2,null,null,-73.978617,40.746812,-73.990648,40.73964,1,null,CRD,5.3,0,0.5,null,1.32,0,7.12,2012,3
VTS,2012-03-09T07:13:00.000+0000,2012-03-09T07:16:00.000+0000,5,1.86,null,null,-73.939015,40.745513,-73.941277,40.748605,1,null,CSH,6.1,0,0.5,null,0,0,6.6,2012,3
VTS,2012-03-24T21:33:00.000+0000,2012-03-24T21:47:00.000+0000,2,2.31,null,null,-73.989255,40.747827,-74.003582,40.722555,1,null,CRD,8.9,0.5,0.5,null,1,0,10.9,2012,3
CMT,2012-03-04T04:20:52.000+0000,2012-03-04T04:39:25.000+0000,1,6.5,null,null,-73.988365,40.723687,-73.925617,40.775466,1,N,CRD,16.9,0.5,0.5,null,3.58,0,21.48,2012,3
VTS,2012-03-17T13:51:00.000+0000,2012-03-17T14:03:00.000+0000,5,1.66,null,null,-73.981072,40.764463,-73.983042,40.781802,1,null,CSH,8.1,0,0.5,null,0,0,8.6,2012,3
CMT,2012-03-03T00:56:51.000+0000,2012-03-03T01:06:32.000+0000,1,1.6,null,null,-73.997695,40.722514,-74.006863,40.73567,1,N,CSH,7.3,0.5,0.5,null,0,0,8.3,2012,3
VTS,2012-03-24T01:42:00.000+0000,2012-03-24T01:56:00.000+0000,1,4.52,null,null,-73.989955,40.725638,-73.951397,40.782278,1,null,CRD,12.5,0.5,0.5,null,1.5,0,15,2012,3
VTS,2012-03-07T05:34:00.000+0000,2012-03-07T05:39:00.000+0000,1,2,null,null,-73.971898,40.764787,-73.993892,40.749897,1,null,CRD,6.9,0.5,0.5,null,1.85,0,9.75,2012,3
VTS,2012-03-15T06:55:00.000+0000,2012-03-15T07:37:00.000+0000,1,17.36,null,null,-73.981207,40.759688,-73.78637,40.639833,2,null,CRD,45,0,0.5,null,5,4.8,55.3,2012,3
VTS,2012-03-10T19:03:00.000+0000,2012-03-10T19:10:00.000+0000,1,1.16,null,null,-73.988765,40.746062,-73.998357,40.755632,1,null,CSH,5.7,0,0.5,null,0,0,6.2,2012,3
VTS,2012-03-18T23:48:00.000+0000,2012-03-18T23:51:00.000+0000,1,0.8,null,null,-73.999188,40.73927,-74.005183,40.729037,1,null,CSH,4.1,0.5,0.5,null,0,0,5.1,2012,3
VTS,2012-03-08T14:33:00.000+0000,2012-03-08T14:58:00.000+0000,3,3.43,null,null,-74.001088,40.736618,-73.963253,40.766415,1,null,CRD,14.5,0,0.5,null,2.9,0,17.9,2012,3
VTS,2012-03-25T16:36:00.000+0000,2012-03-25T16:39:00.000+0000,5,1.19,null,null,-73.982758,40.731178,-73.971775,40.746152,1,null,CSH,4.9,0,0.5,null,0,0,5.4,2012,3
VTS,2012-03-08T06:31:00.000+0000,2012-03-08T06:33:00.000+0000,4,0.61,null,null,-73.98982,40.756823,-73.98207,40.756867,1,null,CSH,3.7,0,0.5,null,0,0,4.2,2012,3
VTS,2012-03-19T17:00:00.000+0000,2012-03-19T17:06:00.000+0000,1,0.78,null,null,-73.97013,40.762902,-73.97747,40.753432,1,null,CSH,5.3,1,0.5,null,0,0,6.8,2012,3
